
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-09-17 12:03:25 /connections ............................... ~ 505.84ms
  2025-09-17 12:03:26 /connections ................................. ~ 0.17ms
  2025-09-17 12:09:34 /connections ................................. ~ 1.41ms
  2025-09-17 12:09:38 /connections ................................. ~ 0.24ms
  2025-09-17 12:10:11 /connections ................................. ~ 0.60ms
  2025-09-17 12:10:23 /connections ................................. ~ 0.25ms
  2025-09-17 12:12:14 /connections ................................. ~ 1.15ms
  2025-09-17 12:12:14 /connections ................................. ~ 0.12ms
  2025-09-17 12:13:38 /connections ................................. ~ 0.18ms
  2025-09-17 12:13:38 /connections ................................. ~ 0.07ms
  2025-09-17 12:14:12 /collections ................................. ~ 0.30ms
  2025-09-17 12:14:12 /collections/users/docs ...................... ~ 3.16ms
  2025-09-17 12:14:12 /collections/Stores/docs ..................... ~ 0.12ms
  2025-09-17 12:14:14 /ai/generate ................................. ~ 0.11ms
  2025-09-17 12:14:14 /ai/generate ..................................... ~ 6s
  2025-09-17 12:14:37 /connections ................................. ~ 1.19ms
  2025-09-17 12:14:37 /connections ................................. ~ 0.17ms
  2025-09-17 12:14:42 /collections ................................. ~ 0.51ms
  2025-09-17 12:14:42 /collections/users/docs ...................... ~ 4.42ms
  2025-09-17 12:14:42 /collections/Stores/docs ..................... ~ 0.16ms
  2025-09-17 12:14:51 /ai/generate ................................. ~ 0.22ms
  2025-09-17 12:14:51 /ai/generate ..................................... ~ 2s
  2025-09-17 12:15:02 /ai/generate ................................. ~ 0.32ms
  2025-09-17 12:15:02 /ai/generate ..................................... ~ 3s
  2025-09-17 12:19:07 /ai/generate ................................. ~ 1.15ms
  2025-09-17 12:19:07 /ai/generate ..................................... ~ 3s
  2025-09-17 12:19:10 /ai/run ...................................... ~ 0.14ms
  2025-09-17 12:19:10 /ai/run ...................................... ~ 0.13ms
  2025-09-17 12:19:47 /ai/generate ................................. ~ 0.76ms
  2025-09-17 12:19:47 /ai/generate ..................................... ~ 1s
  2025-09-17 12:19:49 /ai/run .................................... ~ 501.35ms
  2025-09-17 12:19:49 /ai/run ...................................... ~ 0.17ms
  2025-09-17 12:20:56 /connections ................................. ~ 1.60ms
  2025-09-17 12:20:56 /connections ................................. ~ 6.45ms
  2025-09-17 12:20:58 /collections ................................. ~ 0.27ms
  2025-09-17 12:20:58 /collections/users/docs ...................... ~ 0.08ms
  2025-09-17 12:20:58 /collections/Stores/docs ..................... ~ 0.09ms
  2025-09-17 12:21:14 /ai/generate ................................. ~ 0.21ms
  2025-09-17 12:21:14 /ai/generate ..................................... ~ 1s
  2025-09-17 12:21:15 /ai/run ...................................... ~ 0.11ms
  2025-09-17 12:21:15 /ai/run ...................................... ~ 0.10ms
  2025-09-17 12:23:32 /connections ................................. ~ 1.12ms
  2025-09-17 12:23:32 /connections ................................. ~ 0.17ms
